Loading data to memory...
Loading data to memory done!
Loading data to scheduler...
Loading data to scheduler done!
Running scheduler...
pushing USDJPY 2014-06-11 18:10:05.583
pushing USDJPY 2014-06-11 18:10:05.927
pushing USDJPY 2014-06-11 18:10:06.957
pushing USDJPY 2014-06-11 18:10:07.647
pushing USDJPY 2014-06-11 18:10:07.987
pushing USDJPY 2014-06-11 18:10:17.270
pushing USDJPY 2014-06-11 18:10:21.737
pushing USDJPY 2014-06-11 18:10:22.083
pushing USDJPY 2014-06-11 18:10:33.770
pushing USDJPY 2014-06-11 18:10:38.583
pushing USDJPY 2014-06-11 18:10:53.363
pushing USDJPY 2014-06-11 18:10:53.707
pushing USDJPY 2014-06-11 18:10:54.050
pushing USDJPY 2014-06-11 18:10:54.393
pushing USDJPY 2014-06-11 18:10:54.753
pushing USDJPY 2014-06-11 18:10:55.083
pushing USDJPY 2014-06-11 18:10:55.440
pushing USDJPY 2014-06-11 18:10:55.787
pushing USDJPY 2014-06-11 18:11:06.787
pushing USDJPY 2014-06-11 18:11:08.160
pushing USDJPY 2014-06-11 18:11:13.317
pushing USDJPY 2014-06-11 18:11:22.940
pushing USDJPY 2014-06-11 18:11:23.270
pushing USDJPY 2014-06-11 18:11:26.020
pushing USDJPY 2014-06-11 18:11:26.380
pushing USDJPY 2014-06-11 18:11:29.130
pushing USDJPY 2014-06-11 18:11:43.910
pushing USDJPY 2014-06-11 18:11:44.253
pushing USDJPY 2014-06-11 18:11:44.927
pushing USDJPY 2014-06-11 18:11:46.987
pushing USDJPY 2014-06-11 18:11:48.020
pushing USDJPY 2014-06-11 18:11:48.377
pushing USDJPY 2014-06-11 18:12:01.440
pushing USDJPY 2014-06-11 18:12:11.427
pushing USDJPY 2014-06-11 18:12:11.753
pushing USDJPY 2014-06-11 18:12:23.440
pushing USDJPY 2014-06-11 18:12:35.473
pushing USDJPY 2014-06-11 18:12:56.097
pushing USDJPY 2014-06-11 18:12:56.440
pushing USDJPY 2014-06-11 18:12:57.817
pushing USDJPY 2014-06-11 18:13:07.440
pushing USDJPY 2014-06-11 18:13:07.783
pushing USDJPY 2014-06-11 18:13:08.113
pushing USDJPY 2014-06-11 18:13:08.473
pushing USDJPY 2014-06-11 18:13:08.817
pushing USDJPY 2014-06-11 18:13:10.877
pushing USDJPY 2014-06-11 18:13:11.223
pushing USDJPY 2014-06-11 18:13:14.660
pushing USDJPY 2014-06-11 18:13:16.033
pushing USDJPY 2014-06-11 18:13:16.723
pushing USDJPY 2014-06-11 18:13:17.410
pushing USDJPY 2014-06-11 18:13:23.253
pushing USDJPY 2014-06-11 18:13:23.597
pushing USDJPY 2014-06-11 18:13:24.627
pushing USDJPY 2014-06-11 18:13:27.723
pushing USDJPY 2014-06-11 18:13:29.440
pushing USDJPY 2014-06-11 18:13:30.127
pushing USDJPY 2014-06-11 18:13:30.457
pushing USDJPY 2014-06-11 18:13:31.160
pushing USDJPY 2014-06-11 18:13:31.503
pushing USDJPY 2014-06-11 18:13:38.720
pushing USDJPY 2014-06-11 18:13:40.097
pushing USDJPY 2014-06-11 18:14:00.720
pushing USDJPY 2014-06-11 18:14:21.690
pushing USDJPY 2014-06-11 18:14:24.440
pushing USDJPY 2014-06-11 18:14:25.113
pushing USDJPY 2014-06-11 18:14:44.707
pushing USDJPY 2014-06-11 18:14:56.407
pushing USDJPY 2014-06-11 18:15:05.690
pushing USDJPY 2014-06-11 18:15:08.440
pushing USDJPY 2014-06-11 18:15:08.767
pushing USDJPY 2014-06-11 18:15:14.610
pushing USDJPY 2014-06-11 18:15:22.533
pushing USDJPY 2014-06-11 18:15:24.580
pushing USDJPY 2014-06-11 18:15:44.877
pushing USDJPY 2014-06-11 18:16:02.063
pushing USDJPY 2014-06-11 18:16:03.783
pushing USDJPY 2014-06-11 18:16:45.720
pushing USDJPY 2014-06-11 18:16:50.190
pushing USDJPY 2014-06-11 18:16:57.407
pushing USDJPY 2014-06-11 18:17:08.407
pushing USDJPY 2014-06-11 18:17:10.813
pushing USDJPY 2014-06-11 18:17:44.830
pushing USDJPY 2014-06-11 18:18:03.750
pushing USDJPY 2014-06-11 18:18:23.687
pushing USDJPY 2014-06-11 18:18:25.407
pushing USDJPY 2014-06-11 18:18:26.097
pushing USDJPY 2014-06-11 18:18:26.437
pushing USDJPY 2014-06-11 18:18:37.423
pushing USDJPY 2014-06-11 18:18:39.140
